height,weight,label
150,39,thin
159,79,normal
159,78,normal
165,64,fat
135,47,normal
155,52,fat
123,80,normal
150,70,normal
140,69,normal
123,37,fat
194,56,thin
158,35,thin
152,37,thin
151,46,fat
152,35,thin
136,52,normal
162,53,fat
131,38,fat
135,53,normal
132,47,normal
172,70,fat
159,54,fat
199,67,thin
132,54,normal
182,75,fat
167,69,fat
144,65,normal
156,35,thin
159,78,normal
199,47,thin
159,46,thin
122,72,normal
183,55,thin
197,51,thin
194,76,fat
150,78,normal
141,63,normal
139,70,normal
121,72,normal
167,51,thin
127,35,fat
134,57,normal
131,68,normal
167,65,fat
145,47,fat
154,73,normal
169,37,thin
159,40,thin
146,75,normal
174,73,fat
142,57,normal
130,80,normal
123,80,normal
195,67,thin
198,67,thin
188,73,fat
192,38,thin
168,40,thin
166,77,normal
141,52,normal
160,76,normal
122,79,normal
145,63,normal
125,38,fat
134,67,normal
161,69,normal
175,54,thin
173,58,fat
167,63,fat
139,37,fat
158,79,normal
190,61,thin
128,37,fat
143,62,normal
158,77,normal
124,75,normal
122,65,normal
177,71,fat
124,36,fat
196,38,thin
172,49,thin
145,80,normal
174,60,fat
130,36,fat
199,49,thin
143,69,normal
135,58,normal
137,79,normal
190,50,thin
169,43,thin
139,38,fat
197,47,thin
190,72,fat
197,75,fat
160,50,fat
139,52,normal
138,55,normal
130,76,normal
138,78,normal
166,70,normal
129,35,fat
191,79,fat
125,48,normal
197,64,thin
146,57,normal
163,59,fat
134,51,normal
163,65,fat
197,70,thin
196,62,thin
160,69,normal
160,66,normal
179,42,thin
153,71,normal
167,69,fat
128,59,normal
129,47,normal
161,39,thin
179,44,thin
129,68,normal
196,35,thin
180,49,thin
120,46,normal
198,70,thin
137,78,normal
128,75,normal
183,56,thin
143,61,normal
127,43,normal
200,51,thin
181,77,fat
171,41,thin
154,65,normal
131,50,normal
179,53,thin
136,61,normal
169,78,normal
199,60,thin
172,44,thin
185,57,thin
176,67,fat
170,79,normal
131,76,normal
143,79,normal
128,75,normal
136,50,normal
152,38,thin
187,49,thin
156,64,normal
190,49,thin
130,73,normal
165,47,thin
136,53,normal
139,47,fat
182,74,fat
124,69,normal
146,73,normal
190,58,thin
200,64,thin
168,54,fat
129,79,normal
143,63,normal
170,76,normal
164,64,fat
125,40,normal
121,67,normal
151,72,normal
194,47,thin
182,57,thin
191,40,thin
187,76,fat
170,52,thin
160,58,fat
135,58,normal
153,73,normal
152,64,normal
184,66,fat
170,53,thin
151,78,normal
162,35,thin
182,60,thin
140,49,normal
149,62,normal
120,79,normal
166,65,fat
138,42,fat
148,36,thin
121,38,normal
127,47,normal
199,72,thin
194,80,fat
149,44,fat
176,56,thin
163,63,fat
150,40,thin
168,40,thin
164,75,normal
135,77,normal
125,77,normal
183,63,fat
176,43,thin
144,75,normal
188,47,thin
157,62,normal
186,77,fat
170,66,fat
154,52,fat
150,38,thin
130,64,normal
133,42,fat
124,41,normal
194,75,fat
154,62,normal
176,60,fat
169,70,fat
131,48,normal
156,70,normal
141,64,normal
197,42,thin
146,76,normal
138,51,normal
123,76,normal
142,53,normal
163,62,fat
148,63,normal
155,51,fat
193,73,fat
199,69,thin
198,65,thin
167,63,fat
163,58,fat
167,60,fat
152,54,fat
123,62,normal
199,55,thin
194,57,thin
171,67,fat
151,41,thin
134,70,normal
185,76,fat
183,80,fat
149,70,normal
182,65,fat
190,37,thin
135,68,normal
171,46,thin
145,63,normal
128,70,normal
120,46,normal
140,49,normal
157,66,normal
172,60,fat
147,52,fat
169,62,fat
148,41,fat
121,45,normal
129,75,normal
133,70,normal
123,50,normal
126,52,normal
143,80,normal
196,55,thin
133,74,normal
124,60,normal
124,40,normal
194,70,fat
172,42,thin
197,71,thin
181,60,thin
132,45,normal
178,61,fat
194,39,thin
185,59,thin
145,66,normal
168,57,fat
131,75,normal
181,54,thin
162,57,fat
150,72,normal
169,63,fat
173,44,thin
192,39,thin
179,68,fat
194,46,thin
187,53,thin
151,41,thin
124,69,normal
200,70,thin
158,48,fat
155,72,normal
185,66,fat
125,50,normal
192,64,thin
162,42,thin
167,36,thin
187,37,thin
154,57,fat
123,76,normal
120,76,normal
186,58,thin
169,38,thin
170,44,thin
199,55,thin
136,57,normal
196,71,thin
166,62,fat
183,35,thin
173,47,thin
160,62,fat
127,72,normal
162,78,normal
126,56,normal
190,78,fat
146,53,fat
131,60,normal
137,36,fat
190,56,thin
153,46,fat
123,57,normal
148,40,thin
127,38,fat
188,49,thin
140,51,normal
174,47,thin
129,63,normal
121,57,normal
130,54,normal
196,40,thin
156,54,fat
184,77,fat
152,74,normal
193,64,thin
190,70,fat
169,50,thin
167,69,fat
179,56,thin
130,76,normal
135,49,normal
184,57,thin
177,43,thin
126,76,normal
168,76,normal
188,52,thin
126,75,normal
133,53,normal
154,74,normal
144,73,normal
152,60,normal
168,74,normal
139,51,normal
195,46,thin
145,70,normal
158,47,fat
196,72,fat
162,75,normal
157,41,thin
190,62,thin
161,47,thin
178,44,thin
143,39,fat
189,74,fat
126,60,normal
157,75,normal
167,77,normal
186,61,thin
198,62,thin
164,70,normal
132,41,fat
178,71,fat
183,72,fat
155,52,fat
184,56,thin
189,61,thin
126,56,normal
124,46,normal
131,60,normal
127,42,normal
192,45,thin
136,57,normal
197,36,thin
136,40,fat
122,48,normal
128,65,normal
158,43,thin
197,48,thin
197,53,thin
127,64,normal
132,47,normal
194,55,thin
188,71,fat
138,46,fat
192,71,fat
169,35,thin
157,40,thin
161,53,fat
163,65,fat
132,44,normal
134,56,normal
165,41,thin
134,41,fat
178,63,fat
147,71,normal
148,63,normal
173,45,thin
126,61,normal
199,73,thin
146,55,normal
171,44,thin
190,45,thin
153,36,thin
125,68,normal
136,45,fat
136,45,fat
139,56,normal
135,58,normal
149,56,normal
151,64,normal
141,54,normal
142,78,normal
157,70,normal
160,57,fat
199,44,thin
169,68,fat
139,36,fat
195,61,thin
166,71,normal
140,64,normal
175,74,fat
186,72,fat
136,46,fat
127,50,normal
140,69,normal
179,48,thin
185,49,thin
128,67,normal
148,53,fat
158,53,fat
167,80,normal
156,39,thin
198,65,thin
138,45,fat
150,38,thin
175,38,thin
164,41,thin
140,40,fat
151,36,thin
130,58,normal
147,46,fat
185,75,fat
149,67,normal
162,77,normal
196,38,thin
138,73,normal
167,60,fat
122,68,normal
120,77,normal
173,47,thin
134,76,normal
170,67,fat
152,41,thin
169,52,thin
200,42,thin
137,40,fat
154,69,normal
152,71,normal
133,62,normal
200,46,thin
145,66,normal
129,73,normal
122,73,normal
173,70,fat
178,37,thin
189,45,thin
145,75,normal
180,58,thin
141,37,fat
170,48,thin
151,36,thin
144,72,normal
181,42,thin
190,35,thin
143,66,normal
187,53,thin
139,37,fat
132,44,normal
196,78,fat
170,79,normal
169,43,thin
179,62,fat
165,55,fat
169,57,fat
187,50,thin
163,77,normal
193,58,thin
162,72,normal
179,43,thin
179,50,thin
175,76,fat
173,56,fat
132,38,fat
123,46,normal
188,55,thin
151,47,fat
190,69,fat
193,35,thin
133,74,normal
146,36,thin
158,39,thin
179,51,thin
159,67,normal
153,76,normal
120,45,normal
200,63,thin
193,65,thin
176,40,thin
121,61,normal
131,79,normal
139,35,thin
184,75,fat
138,40,fat
193,64,thin
156,57,fat
187,40,thin
172,44,thin
157,74,normal
146,51,fat
170,65,fat
155,48,fat
130,67,normal
129,37,fat
141,50,normal
163,61,fat
183,59,thin
200,76,fat
165,79,normal
148,37,thin
169,58,fat
133,79,normal
184,47,thin
200,80,fat
157,57,fat
194,66,thin
187,66,fat
181,72,fat
186,71,fat
170,35,thin
155,59,fat
141,42,fat
183,74,fat
170,60,fat
138,63,normal
163,46,thin
135,72,normal
120,79,normal
130,49,normal
169,65,fat
147,63,normal
190,47,thin
186,63,thin
138,50,normal
168,40,thin
136,74,normal
136,41,fat
191,68,fat
192,65,thin
123,79,normal
175,59,fat
158,61,fat
160,75,normal
167,49,thin
129,57,normal
120,45,normal
158,64,normal
185,66,fat
153,69,normal
144,61,normal
132,58,normal
159,69,normal
168,79,normal
197,37,thin
137,35,fat
150,68,normal
157,39,thin
183,45,thin
138,53,normal
198,54,thin
154,50,fat
123,36,fat
150,51,fat
200,55,thin
184,53,thin
170,38,thin
145,44,fat
152,58,normal
132,45,normal
181,35,thin
145,58,normal
200,37,thin
164,66,fat
194,72,fat
146,39,thin
160,71,normal
197,75,fat
189,71,fat
131,46,normal
122,44,normal
160,41,thin
185,39,thin
133,48,normal
166,39,thin
158,50,fat
150,47,fat
196,55,thin
139,66,normal
175,43,thin
155,68,normal
152,79,normal
163,66,fat
175,72,fat
165,78,normal
163,61,fat
157,36,thin
182,43,thin
183,60,thin
195,78,fat
174,54,thin
164,64,fat
133,37,fat
189,37,thin
157,78,normal
154,64,normal
158,60,fat
196,79,fat
125,67,normal
135,59,normal
175,69,fat
166,67,fat
130,43,normal
195,44,thin
179,66,fat
180,62,fat
194,62,thin
151,50,fat
146,41,fat
172,76,normal
179,43,thin
177,56,thin
169,78,normal
157,51,fat
178,68,fat
150,56,fat
135,46,normal
126,39,fat
193,75,fat
139,42,fat
168,53,fat
151,47,fat
127,59,normal
156,62,normal
162,79,normal
185,56,thin
130,45,normal
176,56,thin
159,68,normal
159,50,fat
181,37,thin
162,40,thin
138,40,fat
171,52,thin
149,52,fat
162,54,fat
140,55,normal
168,47,thin
150,76,normal
128,41,normal
194,79,fat
161,79,normal
169,42,thin
153,39,thin
187,36,thin
158,80,normal
184,72,fat
130,59,normal
124,42,normal
137,63,normal
151,44,fat
141,70,normal
179,59,thin
159,49,fat
147,46,fat
142,69,normal
184,50,thin
145,69,normal
157,59,fat
185,38,thin
127,56,normal
160,36,thin
124,38,fat
200,78,fat
188,61,thin
148,50,fat
134,70,normal
125,62,normal
200,61,thin
140,51,normal
156,48,fat
138,46,fat
183,75,fat
159,66,normal
130,45,normal
169,51,thin
180,47,thin
200,43,thin
153,45,fat
198,75,fat
186,45,thin
143,78,normal
151,78,normal
179,47,thin
143,71,normal
138,62,normal
192,48,thin
168,69,fat
188,56,thin
167,79,normal
141,72,normal
121,36,fat
172,60,fat
195,39,thin
183,56,thin
158,61,fat
128,69,normal
155,68,normal
175,79,normal
130,80,normal
141,51,normal
195,44,thin
177,51,thin
120,72,normal
177,59,fat
158,76,normal
135,37,fat
174,36,thin
185,75,fat
121,75,normal
190,55,thin
154,50,fat
137,53,normal
120,39,normal
130,68,normal
186,54,thin
181,55,thin
160,35,thin
198,40,thin
141,63,normal
138,79,normal
173,35,thin
154,76,normal
123,67,normal
179,58,thin
157,49,fat
121,47,normal
126,79,normal
146,60,normal
152,54,fat
177,50,thin
146,56,normal
120,61,normal
159,42,thin
156,65,normal
191,59,thin
136,46,fat
199,71,thin
145,66,normal
164,36,thin
127,73,normal
157,76,normal
146,43,fat
167,72,normal
180,45,thin
121,44,normal
164,47,thin
164,62,fat
146,60,normal
132,75,normal
188,60,thin
142,43,fat
141,72,normal
129,60,normal
186,56,thin
146,74,normal
175,71,fat
195,68,thin
152,68,normal
138,78,normal
125,57,normal
137,62,normal
140,42,fat
167,53,fat
165,37,thin
197,54,thin
186,50,thin
168,42,thin
178,46,thin
197,68,thin
197,48,thin
143,75,normal
188,42,thin
121,45,normal
138,60,normal
170,74,normal
126,44,normal
159,67,normal
170,51,thin
188,64,thin
193,45,thin
139,63,normal
166,60,fat
143,79,normal
129,40,fat
135,80,normal
142,71,normal
132,59,normal
171,80,normal
192,68,thin
129,76,normal
123,41,normal
165,77,normal
178,56,thin
196,66,thin
144,40,fat
146,75,normal
143,46,fat
174,75,fat
135,57,normal
157,38,thin
123,57,normal
198,53,thin
194,48,thin
194,48,thin
157,45,thin
188,65,thin
183,37,thin
157,76,normal
172,73,fat
120,44,normal
198,38,thin
157,42,thin
171,42,thin
125,53,normal
130,54,normal
137,70,normal
181,69,fat
170,73,normal
123,65,normal
149,66,normal
198,45,thin
127,59,normal
153,57,fat
181,54,thin
133,60,normal
142,50,fat
137,61,normal
132,58,normal
123,66,normal
121,61,normal
185,48,thin
188,69,fat
157,59,fat
162,41,thin
199,45,thin
127,44,normal
178,50,thin
125,65,normal
127,56,normal
180,46,thin
182,78,fat
147,54,fat
177,36,thin
145,78,normal
126,62,normal
121,42,normal
176,78,normal
149,79,normal
136,41,fat
195,79,fat
142,50,fat
191,62,thin
122,80,normal
145,63,normal
158,55,fat
145,45,fat
184,78,fat
193,74,fat
197,52,thin
178,77,fat
131,69,normal
146,41,fat
154,53,fat
197,77,fat
137,54,normal
161,50,fat
153,72,normal
122,65,normal
142,57,normal
126,79,normal
170,44,thin
145,54,normal
174,52,thin
144,39,fat
126,75,normal
132,59,normal
188,49,thin
124,45,normal
128,76,normal
177,47,thin
159,44,thin
180,52,thin
131,58,normal
124,70,normal
148,53,fat
183,61,thin
124,57,normal
167,61,fat
174,62,fat
152,67,normal
127,61,normal
192,79,fat
178,56,thin
177,64,fat
152,80,normal
163,35,thin
146,70,normal
164,37,thin
150,46,fat
136,63,normal
171,60,fat
154,46,fat
142,61,normal
179,78,fat
151,41,thin
126,69,normal
170,54,fat
132,44,normal
165,54,fat
142,35,thin
135,61,normal
158,37,thin
125,68,normal
200,53,thin
178,40,thin
142,58,normal
150,62,normal
166,78,normal
192,74,fat
170,54,fat
153,68,normal
163,65,fat
199,60,thin
153,63,normal
161,75,normal
142,48,fat
169,43,thin
155,73,normal
142,77,normal
160,58,fat
199,77,fat
186,35,thin
164,50,fat
134,69,normal
144,61,normal
162,62,fat
174,47,thin
195,35,thin
171,36,thin
141,64,normal
126,47,normal
155,57,fat
196,50,thin
122,66,normal
137,61,normal
136,35,fat
123,65,normal
180,35,thin
158,57,fat
149,57,normal
149,54,fat
159,51,fat
171,71,fat
176,78,normal
163,47,thin
173,47,thin
187,78,fat
138,41,fat
128,39,fat
135,79,normal
166,52,fat
158,59,fat
158,52,fat
178,79,fat
154,59,fat
137,62,normal
143,56,normal
156,78,normal
135,63,normal
120,74,normal
196,45,thin
198,77,fat
160,65,normal
153,76,normal
177,65,fat
193,54,thin
183,60,thin
136,58,normal
130,78,normal
148,77,normal
142,41,fat
183,49,thin
168,53,fat
185,39,thin
158,44,thin
167,39,thin
140,47,fat
184,70,fat
133,80,normal
147,43,fat
144,35,thin
151,80,normal
200,68,thin
145,76,normal
165,61,fat
122,67,normal
183,48,thin
140,78,normal
126,51,normal
193,61,thin
196,59,thin
183,70,fat
189,70,fat
185,45,thin
136,64,normal
192,66,thin
123,65,normal
169,43,thin
178,44,thin
171,46,thin
132,41,fat
132,67,normal
150,60,normal
159,38,thin
179,53,thin
159,50,fat
185,43,thin
139,49,normal
188,38,thin
179,38,thin
123,50,normal
194,64,thin
142,53,normal
163,69,normal
156,65,normal
140,60,normal
125,35,fat
144,68,normal
175,78,normal
164,58,fat
178,56,thin
153,75,normal
188,80,fat
137,55,normal
179,50,thin
151,61,normal
142,38,fat
168,61,fat
131,58,normal
155,47,fat
145,45,fat
172,77,normal
146,57,normal
134,65,normal
128,73,normal
132,43,fat
157,44,thin
173,71,fat
170,75,normal
144,50,fat
162,57,fat
141,61,normal
146,63,normal
193,37,thin
123,75,normal
166,46,thin
175,79,normal
129,60,normal
165,56,fat
163,40,thin
130,57,normal
198,63,thin
165,70,normal
124,63,normal
158,51,fat
146,40,fat
192,50,thin
131,78,normal
132,77,normal
187,66,fat
136,45,fat
181,56,thin
128,61,normal
174,59,fat
182,42,thin
132,78,normal
190,60,thin
158,78,normal
146,35,thin
131,38,fat
153,69,normal
122,69,normal
138,70,normal
135,69,normal
175,52,thin
196,36,thin
156,36,thin
163,37,thin
132,73,normal
163,71,normal
170,53,thin
133,79,normal
168,66,fat
193,61,thin
180,38,thin
185,50,thin
144,61,normal
157,43,thin
128,78,normal
129,42,normal
160,72,normal
157,42,thin
194,71,fat
189,39,thin
197,71,thin
185,36,thin
181,36,thin
146,40,fat
139,43,fat
139,66,normal
123,73,normal
191,40,thin
162,53,fat
128,75,normal
129,79,normal
146,36,thin
141,48,fat
199,67,thin
158,40,thin
135,65,normal
123,35,fat
167,49,thin
188,45,thin
195,72,fat
126,53,normal
196,69,thin
129,69,normal
137,36,fat
147,42,fat
158,72,normal
135,73,normal
187,65,fat
157,46,fat
154,40,thin
135,64,normal
148,57,normal
176,55,thin
174,61,fat
157,63,normal
198,39,thin
146,50,fat
195,52,thin
126,47,normal
145,60,normal
195,44,thin
137,59,normal
146,64,normal
121,51,normal
177,45,thin
170,62,fat
189,79,fat
192,70,fat
185,38,thin
154,71,normal
141,44,fat
133,77,normal
192,63,thin
130,75,normal
192,50,thin
141,61,normal
122,44,normal
174,73,fat
125,35,fat
184,68,fat
164,65,fat
156,51,fat
185,77,fat
162,77,normal
171,40,thin
142,66,normal
138,48,normal
162,67,normal
186,62,thin
181,62,fat
122,45,normal
168,41,thin
145,36,thin
124,74,normal
186,73,fat
200,50,thin
195,68,thin
159,47,fat
139,61,normal
159,60,fat
193,46,thin
129,69,normal
169,73,normal
198,60,thin
173,72,fat
121,41,normal
124,50,normal
166,37,thin
138,53,normal
160,70,normal
179,46,thin
179,38,thin
137,74,normal
155,59,fat
169,45,thin
189,80,fat
135,60,normal
128,59,normal
192,43,thin
199,45,thin
142,55,normal
181,60,thin
186,73,fat
197,47,thin
190,38,thin
164,42,thin
172,49,thin
152,74,normal
169,67,fat
200,46,thin
132,45,normal
122,68,normal
165,72,normal
189,39,thin
192,76,fat
128,58,normal
130,64,normal
128,35,fat
150,48,fat
123,78,normal
166,49,thin
154,77,normal
167,64,fat
156,42,thin
174,57,fat
169,53,fat
160,49,fat
183,52,thin
158,60,fat
197,53,thin
150,49,fat
170,77,normal
129,48,normal
179,55,thin
127,64,normal
193,79,fat
123,58,normal
132,35,fat
129,69,normal
177,60,fat
157,53,fat
138,80,normal
140,35,thin
200,58,thin
140,72,normal
124,60,normal
161,60,fat
155,77,normal
122,51,normal
130,52,normal
146,47,fat
195,76,fat
187,40,thin
152,73,normal
159,70,normal
171,48,thin
144,71,normal
157,64,normal
164,56,fat
160,71,normal
159,61,fat
150,60,normal
161,43,thin
165,38,thin
167,74,normal
192,49,thin
156,61,normal
196,44,thin
167,39,thin
168,71,normal
121,63,normal
141,38,fat
165,51,fat
127,76,normal
187,35,thin
158,56,fat
127,67,normal
149,70,normal
145,66,normal
167,75,normal
182,41,thin
184,70,fat
164,76,normal
186,51,thin
168,73,normal
139,78,normal
122,66,normal
185,57,thin
182,35,thin
160,73,normal
166,67,fat
140,47,fat
198,61,thin
188,66,fat
151,61,normal
166,74,normal
152,75,normal
165,51,fat
170,68,fat
159,35,thin
123,58,normal
128,52,normal
123,73,normal
198,62,thin
156,53,fat
123,61,normal
165,52,fat
193,48,thin
122,59,normal
177,68,fat
149,71,normal
131,67,normal
185,42,thin
145,56,normal
180,57,thin
158,67,normal
131,47,normal
120,60,normal
164,63,fat
182,74,fat
148,62,normal
120,70,normal
173,64,fat
173,56,fat
183,74,fat
120,44,normal
135,40,fat
128,43,normal
161,45,thin
157,76,normal
128,39,fat
195,65,thin
195,74,fat
161,44,thin
172,56,fat
168,48,thin
120,55,normal
162,51,fat
132,63,normal
146,37,thin
191,52,thin
154,47,fat
199,46,thin
186,42,thin
133,63,normal
178,36,thin
179,40,thin
196,69,thin
184,42,thin
120,74,normal
130,53,normal
162,60,fat
155,36,thin
157,66,normal
127,43,normal
200,43,thin
154,55,fat
188,73,fat
175,69,fat
146,47,fat
150,65,normal
193,67,thin
177,35,thin
170,62,fat
130,44,normal
133,45,normal
176,49,thin
148,35,thin
185,45,thin
176,57,thin
194,54,thin
197,35,thin
130,76,normal
186,62,thin
188,53,thin
160,67,normal
135,62,normal
195,52,thin
134,44,fat
130,60,normal
121,48,normal
139,47,fat
169,75,normal
133,63,normal
163,53,fat
180,43,thin
153,35,thin
148,71,normal
188,36,thin
171,39,thin
173,76,normal
192,64,thin
136,43,fat
185,50,thin
152,38,thin
190,68,fat
167,35,thin
149,35,thin
186,46,thin
129,49,normal
187,41,thin
133,48,normal
149,41,thin
180,56,thin
176,76,fat
150,79,normal
163,56,fat
150,60,normal
173,78,normal
194,67,thin
196,37,thin
150,43,fat
161,59,fat
120,41,normal
120,63,normal
127,56,normal
150,68,normal
153,50,fat
164,57,fat
163,65,fat
153,46,fat
133,65,normal
126,64,normal
163,74,normal
194,36,thin
198,74,fat
172,78,normal
134,78,normal
180,64,fat
190,75,fat
187,76,fat
195,48,thin
164,41,thin
135,77,normal
199,54,thin
131,40,fat
137,79,normal
135,80,normal
143,76,normal
188,75,fat
141,68,normal
196,67,thin
124,68,normal
140,65,normal
163,54,fat
137,62,normal
153,39,thin
176,54,thin
173,41,thin
174,45,thin
187,64,thin
139,39,fat
131,53,normal
169,78,normal
186,49,thin
167,47,thin
176,55,thin
147,53,fat
152,80,normal
187,79,fat
186,69,fat
148,74,normal
121,53,normal
125,78,normal
172,60,fat
169,53,fat
177,48,thin
157,55,fat
135,49,normal
136,59,normal
192,68,thin
147,61,normal
170,65,fat
140,54,normal
148,75,normal
169,63,fat
189,70,fat
148,69,normal
199,46,thin
172,36,thin
144,67,normal
161,48,fat
165,68,fat
128,76,normal
149,71,normal
157,53,fat
173,68,fat
128,57,normal
160,80,normal
174,72,fat
180,63,fat
190,49,thin
135,75,normal
168,51,thin
135,36,fat
157,59,fat
157,39,thin
181,76,fat
133,67,normal
162,77,normal
157,77,normal
179,79,fat
152,46,fat
143,39,fat
137,53,normal
152,66,normal
135,67,normal
138,75,normal
135,48,normal
148,45,fat
127,35,fat
182,69,fat
179,51,thin
154,76,normal
132,69,normal
141,59,normal
136,69,normal
194,46,thin
172,35,thin
151,56,fat
159,74,normal
150,60,normal
150,60,normal
162,53,fat
128,58,normal
162,39,thin
151,43,fat
166,39,thin
162,57,fat
158,63,normal
166,80,normal
141,60,normal
183,67,fat
125,77,normal
150,53,fat
150,45,fat
132,43,fat
157,58,fat
142,36,thin
168,44,thin
136,75,normal
150,63,normal
187,70,fat
151,70,normal
146,76,normal
151,38,thin
180,69,fat
140,77,normal
152,76,normal
153,70,normal
151,59,normal
140,67,normal
149,38,thin
157,37,thin
130,79,normal
129,52,normal
152,39,thin
142,37,thin
155,60,fat
132,48,normal
122,37,fat
157,35,thin
148,58,normal
124,49,normal
170,63,fat
145,51,fat
163,72,normal
172,75,normal
131,57,normal
160,37,thin
189,61,thin
159,39,thin
129,60,normal
176,45,thin
180,35,thin
179,74,fat
165,38,thin
120,54,normal
127,58,normal
161,37,thin
176,62,fat
169,38,thin
167,62,fat
160,36,thin
146,79,normal
181,49,thin
168,76,normal
163,40,thin
195,72,fat
191,69,fat
190,77,fat
178,75,fat
186,47,thin
179,46,thin
175,59,fat
142,79,normal
143,37,thin
124,52,normal
163,71,normal
168,51,thin
158,61,fat
125,43,normal
182,52,thin
172,79,normal
167,64,fat
197,35,thin
170,71,fat
134,35,fat
125,42,normal
143,42,fat
184,38,thin
161,61,fat
184,50,thin
172,76,normal
167,37,thin
142,68,normal
126,39,fat
136,68,normal
196,48,thin
122,71,normal
171,63,fat
126,48,normal
171,46,thin
126,70,normal
124,46,normal
124,49,normal
171,53,thin
193,63,thin
176,66,fat
178,78,fat
137,39,fat
176,46,thin
172,51,thin
122,71,normal
136,44,fat
196,37,thin
174,70,fat
162,74,normal
161,54,fat
200,50,thin
175,55,thin
170,77,normal
126,79,normal
150,60,normal
132,38,fat
197,71,thin
160,50,fat
180,46,thin
148,70,normal
154,68,normal
165,37,thin
164,66,fat
151,54,fat
178,56,thin
181,42,thin
161,50,fat
133,73,normal
170,60,fat
164,44,thin
142,63,normal
152,75,normal
167,49,thin
151,38,thin
185,63,thin
134,59,normal
195,69,thin
137,49,normal
176,68,fat
198,73,fat
129,49,normal
195,55,thin
127,35,fat
182,74,fat
133,72,normal
160,73,normal
192,46,thin
159,75,normal
149,57,normal
123,80,normal
200,79,fat
137,61,normal
177,54,thin
184,76,fat
132,74,normal
184,71,fat
171,49,thin
173,59,fat
158,57,fat
199,61,thin
164,67,fat
198,39,thin
151,44,fat
156,47,fat
171,42,thin
136,80,normal
197,41,thin
155,63,normal
168,48,thin
172,66,fat
157,47,fat
142,48,fat
178,54,thin
188,77,fat
197,68,thin
196,54,thin
177,66,fat
184,68,fat
170,76,normal
137,69,normal
149,80,normal
164,37,thin
185,38,thin
197,38,thin
151,54,fat
144,56,normal
159,68,normal
167,65,fat
